Code;Description
umol/mol{Cre};micromole / mole Cre
umol/mol{creat};micromole per mole of creatinine
umol/mol{Hb};micromole per mole of hemoglobin
umol/umol;micromole per micromole
uOhm;microOhm
us;microsecond
uU;microUnit
uU/g;micro enzyme unit per gram
uU/L;micro enzyme unit per liter
uU/mL;micro enzyme unit per milliliter
uV;microvolt
V;volt
wk;week
10.uN.s/(cm5.m2);10 micronewton second per centimeter to the fifth power per square meter
10*4/uL;10 thousand per microliter
24.h;24 hour
A;Ampère
{ARU};aspirin response unit
atm;standard atmosphere
ag/{cell};attogram per cell
Bq;Becquerel
{binding_index};binding index
[bdsk'U];Bodansky unit
{CAG_repeats};CAG trinucleotide repeats
cal;calorie
cm[H2O]/s/m;centimeter of water per second per meter
{delta_OD};change in (delta) optical density
{copies};copies
{count};count
{CPM};counts per minute
{CPM}/10*3{cell};counts per minute per thousand cells
daL/min;dekaliter per minute
daL/min/m2;dekaliter per minute per square meter
{dilution};dilution
dyn.s/cm;dyne second per centimeter
dyn.s/(cm.m2);dyne second per centimeter per square meter
{EIA_index};EIA index
{EIA_titer};EIA titer
{EV};EIA value
U/10;enzyme unit per 10
U/10*10;enzyme unit per 10 billion
U/(10.g){feces};enzyme unit per 10 gram of feces
U/g{creat};enzyme unit per gram of creatinine
U/g{protein};enzyme unit per gram of protein
U{25Cel}/L;enzyme unit per liter at 25 deg Celsius
U{37Cel}/L;enzyme unit per liter at 37 deg Celsius
U/10*12{RBCs};enzyme unit per trillion red blood cells
F;Farad
fmol/mg{cytosol_protein};femtomole per milligram of cytosol protein
fmol/mg{protein};femtomole per milligram of protein
{FIU};fluorescent intensity unit
{fraction};fraction
{GAA_repeats};GAA trinucleotide repeats
{genomes}/mL;genomes per milliliter
{Globules}/[HPF];globules (drops) per high power field
g.m/{beat};gram meter per heart beat
g{creat};gram of creatinine
g{Hb};gram of hemoglobin
g{total_nit};gram of total nitrogen
g{total_prot};gram of total protein
g{wet_tissue};gram of wet tissue
g/kg/(8.h);gram per kilogram per 8 hour
g/(8.h){shift};gram per 8 hour shift
g/cm3;gram per cubic centimeter
g/g{globulin};gram per gram of globulin
g/kg/(8.h){shift};gram per kilogram per 8 hour shift
g/kg/h;gram per kilogram per hour
g/kg/min;gram per kilogram per minute
g/mol{creat};gram per mole of creatinine
g/{specimen};gram per specimen
g/{total_output};gram per total output
g/{total_weight};gram per total weight
Gy;Gray
{beats}/min;heart beats per minute
H;Henry
[HPF];high power field
[GPL'U]/mL;IgG anticardiolipin unit per milliliter**
{GPS'U};IgG antiphosphatidylserine unit
[MPL'U]/mL;IgM anticardiolipin unit per milliliter**
{ISR};immune status ratio
{IFA_index};immunofluorescence assay index
{IFA_titer};Immunofluorescence assay titer
[in_i'H2O];inch (international) of water
{index_val};index value
{HA_titer};influenza hemagglutination titer
[IU];international unit
[IU]/L{37Cel};international unit per liter at 37 degrees Celsius
[IU]/mg{creat};international unit per milligram of creatinine
kat;katal
kU;kilo enzyme unit
kU/L{class};kilo enzyme unit per liter class
kcal/d;kilocalorie per day
kcal/kg/(24.h);kilocalorie per kilogram per 24 hour
kcal/[oz_av];kilocalorie per ounce (US & British)
[ka'U];King Armstrong unit
L/(24.h);liter per 24 hour
L/s/s2;liter per second per square second
{Log_copies}/mL;log (base 10) copies per milliliter
{Log_IU};log (base 10) international unit
{Log_IU}/mL;log (base 10) international unit per milliliter
{Log};log base 10
[LPF];low power field
lm;lumen
lm.m2;lumen square meter
{Lyme_index_value};Lyme index value
[mclg'U];Mac Lagan unit
Ms;megasecond
ug/g{feces};microgram per gram of feces
ug{FEU}/mL;microgram fibrinogen equivalent unit per milliliter
ug/(100.g);microgram per 100 gram
ug/m3;microgram per cubic meter
ug/dL{RBCs};microgram per deciliter of red blood cells
ug/g{dry_tissue};microgram per gram of dry tissue
ug/g{dry_wt};microgram per gram of dry weight
ug/g{hair};microgram per gram of hair
ug/g{Hb};microgram per gram of hemoglobin
ug/g{tissue};microgram per gram of tissue
ug/L{RBCs};microgram per liter of red blood cells
ug/mL{class};microgram per milliliter class
ug/mL{eqv};microgram per milliliter equivalent
ug/mmol{creat};microgram per millimole of creatinine
ug/{specimen};microgram per specimen
ug/[sft_i];microgram per square foot (international)
umol{BCE}/mol;micromole bone collagen equivalent per mole
umol/(2.h);micromole per 2 hour
umol/(8.h);micromole per 8 hour
umol/dL{GF};micromole per deciliter of glomerular filtrate
umol/kg{feces};micromole per kilogram of feces
umol/L{RBCs};micromole per liter of red blood cells
umol/umol{creat};micromole per micromole of creatinine
umol/mg{creat};micromole per milligram of creatinine
umol/mmol{creat};micromole per millimole of creatinine
umol/min/g{mucosa};micromole per minute per gram of mucosa
mU/mmol{creat};milli enzyme unit per millimole of creatinine
mU/g{Hb};milli enzyme unit per gram of hemoglobin
mU/g{protein};milli enzyme unit per gram of protein
